Date,Value,Type
2019-05-14,0.16666666666666666,Top
2019-05-16,0.1,Top
2019-05-21,0.2,Top
2019-05-30,0.16666666666666666,Top
2019-05-31,0.2,Top
2019-06-01,0.2857142857142857,Top
2019-06-02,0.5,Top
2019-06-03,0.16666666666666666,Top
2019-06-04,0.25,Top
2019-06-05,0.3333333333333333,Top
2019-06-07,0.14285714285714285,Top
2019-06-09,0.14285714285714285,Top
2019-06-22,0.1111111111111111,Top
2019-06-25,0.16666666666666666,Top
2019-07-10,0.08333333333333333,Top
2019-07-11,0.07142857142857142,Top
2019-07-13,0.09090909090909091,Top
2019-07-15,0.1,Top
2019-07-16,0.2222222222222222,Top
2020-02-03,0.14285714285714285,Top
2020-02-05,0.25,Top
2020-02-07,0.25,Top
2020-02-08,0.16666666666666666,Top
2020-02-10,0.2857142857142857,Top
2020-02-11,0.1111111111111111,Top
2020-02-14,0.125,Top
2020-02-15,0.1111111111111111,Top
2020-03-12,0.09090909090909091,Bottom
2020-05-06,0.08333333333333333,Top
2020-10-26,0.2,Top
2020-10-29,0.2,Top
2020-11-10,0.3333333333333333,Top
2020-11-13,0.3333333333333333,Top
2020-11-14,0.2,Top
2020-11-19,0.2,Top
2020-11-20,0.3333333333333333,Top
2020-12-26,0.35714285714285715,Top
2020-12-27,0.16666666666666666,Top
2020-12-29,0.1111111111111111,Top
2020-12-30,0.14285714285714285,Top
2020-12-31,0.2,Top
2021-01-01,0.2,Top
2021-01-02,0.16666666666666666,Top
2021-01-03,0.3333333333333333,Top
2021-01-05,1.0,Top
2021-01-06,1.0,Top
2021-01-08,0.16666666666666666,Top
2021-01-09,0.6,Top
2021-01-13,0.125,Top
2021-01-17,0.2,Top
2021-02-11,0.16666666666666666,Top
2021-02-19,0.1111111111111111,Top
2021-03-09,0.058823529411764705,Top
2021-03-10,0.05555555555555555,Top
2021-03-11,0.05555555555555555,Top
2021-07-30,0.1,Top
2021-08-22,0.2857142857142857,Top
2021-08-23,0.14285714285714285,Top
2021-10-15,0.1,Top
2021-11-12,0.0625,Top
2021-11-14,0.0625,Top
2021-12-15,0.14285714285714285,Bottom
2021-12-16,0.1111111111111111,Bottom
2021-12-17,0.2,Bottom
2021-12-21,0.125,Bottom
2022-01-18,0.09090909090909091,Bottom
2022-01-19,0.14285714285714285,Bottom
2022-01-20,0.15384615384615385,Bottom
2022-01-21,0.4,Bottom
2022-01-22,0.2857142857142857,Bottom
2022-01-23,0.5,Bottom
2022-01-24,0.2727272727272727,Bottom
2022-01-25,0.45454545454545453,Bottom
2022-01-26,0.4,Bottom
2022-01-27,0.5,Bottom
2022-01-28,0.5,Bottom
2022-01-29,0.625,Bottom
2022-01-30,0.5555555555555556,Bottom
2022-01-31,0.3333333333333333,Bottom
2022-02-01,0.1111111111111111,Bottom
2022-02-03,0.2,Bottom
2022-02-04,0.15384615384615385,Bottom
2022-02-05,0.08333333333333333,Bottom
2022-02-06,0.2,Bottom
2022-07-05,0.125,Bottom
2022-07-06,0.125,Bottom
2022-07-07,0.25,Bottom
2022-07-10,0.16666666666666666,Bottom
2022-07-11,0.1111111111111111,Bottom
2022-07-12,0.25,Bottom
2022-07-13,0.23076923076923078,Bottom
2022-07-15,0.2857142857142857,Bottom
2022-07-16,0.08333333333333333,Bottom
2022-07-17,0.09090909090909091,Bottom
2023-04-15,0.06666666666666667,Top
2023-04-16,0.13333333333333333,Top
2023-04-17,0.21428571428571427,Top
2023-04-18,0.13333333333333333,Top
2023-04-19,0.06666666666666667,Top
2023-04-20,0.125,Top
2023-08-18,0.125,Bottom
2023-10-22,0.1,Top
2023-10-23,0.2,Top
2023-12-17,0.16666666666666666,Top
2023-12-20,0.1111111111111111,Top
2024-01-01,0.1111111111111111,Top
2024-02-27,0.09090909090909091,Top
2024-03-05,0.5,Top
2024-03-06,0.3333333333333333,Top
2024-03-09,0.25,Top
2024-03-11,0.2,Top
2024-03-13,0.5,Top
2024-03-15,0.25,Top
2024-07-07,0.5,Bottom
2024-07-12,0.2,Bottom
2024-11-21,0.125,Top
2024-11-23,0.25,Top
2025-01-24,0.09090909090909091,Top
2025-03-15,0.25,Bottom
2025-03-17,0.16666666666666666,Bottom
2025-05-17,0.1111111111111111,Top
2025-05-19,0.09090909090909091,Top
2025-05-21,0.2,Top
2025-05-22,0.09090909090909091,Top
2025-05-23,0.1111111111111111,Top
2025-12-01,0.14285714285714285,Bottom
