Date,Value,Type
2019-07-23,0.08333333333333333,Top
2019-07-25,0.08333333333333333,Top
2019-07-26,0.09090909090909091,Top
2019-07-29,0.14285714285714285,Top
2019-07-30,0.125,Top
2020-01-17,0.09090909090909091,Top
2020-01-21,0.08333333333333333,Top
2020-01-24,0.23076923076923078,Top
2020-01-27,0.25,Top
2020-01-28,0.15384615384615385,Top
2020-01-29,0.07692307692307693,Top
2020-01-30,0.0625,Top
2020-06-04,0.08333333333333333,Top
2020-06-09,0.1,Top
2020-06-10,0.1,Top
2020-06-16,0.06666666666666667,Top
2020-06-23,0.1111111111111111,Top
2020-07-21,0.07142857142857142,Top
2020-07-22,0.14285714285714285,Top
2020-07-23,0.09090909090909091,Top
2020-08-05,0.07142857142857142,Top
2020-08-11,0.07692307692307693,Top
2020-08-17,0.07692307692307693,Top
2020-08-18,0.0625,Top
2020-08-19,0.15384615384615385,Top
2020-08-26,0.058823529411764705,Top
2020-08-28,0.07142857142857142,Top
2020-09-01,0.13333333333333333,Top
2020-12-08,0.1,Top
2021-01-25,0.14285714285714285,Top
2021-02-01,0.08333333333333333,Top
2021-02-12,0.125,Top
2022-05-13,0.08333333333333333,Bottom
2022-05-16,0.08333333333333333,Bottom
2022-05-25,0.09090909090909091,Bottom
2022-05-27,0.1,Bottom
2022-06-03,0.1,Bottom
2022-07-06,0.16666666666666666,Bottom
2022-07-13,0.1,Bottom
2022-10-18,0.16666666666666666,Bottom
2023-06-12,0.09090909090909091,Top
2023-07-25,0.08333333333333333,Top
2023-12-29,0.14285714285714285,Top
2024-02-05,0.2857142857142857,Top
2024-02-06,0.14285714285714285,Top
2024-02-07,0.06666666666666667,Top
2024-02-09,0.08333333333333333,Top
2024-02-12,0.07692307692307693,Top
2024-02-13,0.08333333333333333,Top
2024-02-15,0.15384615384615385,Top
2024-02-23,0.07692307692307693,Top
2024-03-01,0.0625,Top
2024-03-05,0.16666666666666666,Top
2024-03-06,0.14285714285714285,Top
2024-03-07,0.3333333333333333,Top
2024-03-08,0.125,Top
2024-03-11,0.14285714285714285,Top
2024-03-12,0.15384615384615385,Top
2024-03-13,0.25,Top
2024-03-14,0.2,Top
2024-03-15,0.1,Top
2024-03-18,0.16666666666666666,Top
2024-03-22,0.16666666666666666,Top
2024-03-25,0.07692307692307693,Top
2024-07-15,0.1,Top
2024-07-17,0.1111111111111111,Top
2025-03-31,0.07692307692307693,Bottom
2025-04-04,0.125,Bottom
2025-04-21,0.14285714285714285,Bottom
2025-06-16,0.08333333333333333,Top
2025-06-18,0.08333333333333333,Top
2025-06-26,0.09090909090909091,Top
2025-07-02,0.1111111111111111,Top
2025-10-06,0.125,Top
2025-10-09,0.2857142857142857,Top
2025-10-13,0.09090909090909091,Top
2025-10-15,0.09090909090909091,Top
2025-11-04,0.2222222222222222,Top
2025-11-05,0.1111111111111111,Top
2026-01-30,0.14285714285714285,Top
2026-04-20,0.09090909090909091,Top
2026-05-08,0.16666666666666666,Top
2026-05-14,0.3333333333333333,Top
2026-06-02,0.3333333333333333,Top
2026-06-03,0.4,Top
